id_cliente,mes_referencia,idade,renda_mensal,tempo_cliente_meses,atrasos_ult_6m,limite_credito,canal,plano,valor_fatura,qtd_faturas_ult_12m,dias_medio_atraso_ult_6m,valor_em_atraso_ult_6m,qtd_cartoes_vinculados,possui_debito_ativo,regiao,tipo_emprego,aceitou_pix,score_risco_interno,inadimplente_prox_mes,inadimplente_prox_3m,cobranca_pos_evento,pagamento_confirmado_prox_mes
1,2026-01,56,4728.62,75,1,7890.88,site,basico,82.42,8,3.1,9.8,1,0,SE,CLT,1,0.0308,0,0,0,1
2,2026-01,69,2251.0,29,0,2467.44,app,plus,119.88,11,0.0,0.0,3,0,NE,CLT,1,0.0358,0,0,0,1
3,2026-01,46,8001.21,36,1,9116.74,site,basico,83.22,9,9.9,42.31,2,0,SE,CLT,1,0.0022,0,0,0,1
4,2026-01,32,4223.99,89,1,575.31,loja,plus,113.72,7,2.9,8.08,1,0,SE,desempregado,0,0.0545,0,0,0,1
5,2026-01,60,2867.42,21,4,1616.33,app,basico,68.42,6,8.4,23.51,0,1,NE,informal,1,0.288,1,1,1,0
6,2026-01,25,3028.76,36,2,4637.69,app,premium,164.6,7,1.8,5.61,1,0,NE,informal,1,0.0762,0,0,0,1
7,2026-01,38,3630.38,10,5,8429.56,loja,basico,87.71,10,11.1,33.54,3,1,CO,CLT,0,0.204,0,0,0,1
8,2026-01,56,3474.31,101,2,5922.6,app,basico,88.73,9,19.6,93.76,2,0,S,informal,0,0.1136,0,1,0,1
9,2026-01,36,1200.0,73,0,5160.71,loja,basico,82.32,11,0.0,0.0,2,0,N,informal,0,0.0547,0,0,0,1
10,2026-01,40,6774.73,24,3,9365.11,app,basico,75.63,9,2.0,3.76,1,1,S,autonomo,0,0.0455,0,0,0,0
11,2026-01,28,4472.13,64,1,11388.1,loja,plus,106.92,10,10.9,38.61,1,0,NE,desempregado,0,0.048,0,0,0,0
12,2026-01,28,4450.72,99,4,7680.64,app,basico,84.41,9,6.1,12.72,2,1,S,CLT,0,0.1045,0,0,0,1
13,2026-01,41,5972.17,49,0,4442.86,site,plus,111.09,8,0.0,0.0,1,0,S,desempregado,0,0.0239,0,0,0,1
14,2026-01,53,2601.71,99,0,4954.64,site,basico,74.21,11,0.0,0.0,1,0,SE,desempregado,1,0.0663,0,0,0,0
15,2026-01,57,3135.01,112,5,2778.88,site,basico,75.21,6,4.5,18.34,1,1,SE,CLT,1,0.2213,1,0,1,0
16,2026-01,41,5323.35,36,2,6252.04,loja,plus,118.32,10,5.0,23.68,2,0,SE,CLT,1,0.0239,0,0,0,1
17,2026-01,20,4384.12,82,1,1926.02,app,plus,113.83,8,5.2,16.27,3,0,SE,desempregado,1,0.0594,0,0,0,1
18,2026-01,39,5120.82,113,2,7379.66,site,basico,80.17,7,6.6,21.8,1,0,NE,CLT,1,0.0611,0,0,0,1
19,2026-01,19,4355.84,103,2,11013.94,app,basico,74.93,11,12.4,26.52,1,0,N,CLT,1,0.0341,0,0,0,1
20,2026-01,41,4065.52,96,0,7793.98,app,basico,85.51,12,0.0,0.0,2,0,N,desempregado,1,0.0037,0,0,0,1
21,2026-01,61,7080.33,24,2,4827.13,app,plus,128.15,12,14.6,62.54,3,0,CO,autonomo,1,0.0408,0,0,0,1
22,2026-01,47,6418.43,23,2,7317.34,app,plus,120.77,6,5.5,15.07,1,0,NE,CLT,1,0.0412,0,0,0,1
23,2026-01,55,1200.0,62,2,10051.33,site,basico,83.6,9,13.7,58.17,1,0,SE,autonomo,0,0.0912,0,0,0,1
24,2026-01,19,7164.59,96,0,9926.24,loja,plus,136.84,6,0.0,0.0,1,0,S,CLT,0,0.0138,0,0,0,1
25,2026-01,38,8385.71,37,0,3490.61,app,plus,110.52,12,0.0,0.0,2,0,CO,CLT,1,0.0218,0,0,0,1
26,2026-01,50,6717.2,12,3,7275.74,app,plus,110.03,7,7.3,23.53,1,1,SE,CLT,1,0.0398,0,0,0,1
27,2026-01,29,4114.22,113,0,5604.75,site,premium,185.46,10,0.0,0.0,1,0,CO,autonomo,0,0.0122,0,0,0,1
28,2026-01,39,3259.45,55,0,8016.48,app,basico,95.47,10,0.0,0.0,2,0,SE,CLT,1,0.0302,0,0,0,1
29,2026-01,61,5810.1,13,1,6959.03,app,basico,77.82,11,9.5,40.45,2,0,S,informal,1,0.0505,0,0,0,1
30,2026-01,42,3385.68,23,1,500.0,app,basico,93.71,10,10.0,33.43,0,0,S,autonomo,1,0.1117,0,0,0,1
31,2026-01,66,5141.09,89,2,5129.97,site,basico,80.67,11,3.2,6.81,2,0,S,CLT,1,0.0495,0,0,0,0
