index;idade;renda_anual;tempo_emprego;estado_civil;valor_solicitado;risco
0;56;36453.68;3;solteiro;21452.64;alto
1;46;67929.83;15;casado;33282.52;alto
2;32;68234.96;6;solteiro;34204.77;alto
3;25;68049.49;12;solteiro;39411.72;alto
4;38;35318.77;9;casado;16724.26;alto
5;56;49107.29;6;solteiro;27454.82;alto
6;36;40894.57;13;solteiro;13103.21;baixo
7;40;61293.54;4;solteiro;18649.12;baixo
8;28;72575.11;2;solteiro;29667.77;medio
9;28;60579.69;10;solteiro;31467.86;alto
10;41;48131.68;10;solteiro;18973.28;medio
11;53;42736.23;17;casado;20362.21;alto
12;57;57346.85;14;solteiro;26264.85;medio
13;41;30390.62;11;solteiro;14930.43;alto
14;20;55723.24;8;casado;14189.63;baixo
15;39;34828.45;9;casado;8323.84;baixo
16;19;56935.89;11;casado;34154.77;alto
17;41;45682.5;16;casado;10344.76;baixo
18;47;42408.99;5;casado;16269.92;medio
19;55;35248.62;6;casado;17543.19;alto
20;19;42862.87;13;casado;22663.9;alto
21;38;56008.15;12;solteiro;24801.19;medio
22;50;63031.59;7;solteiro;16316.35;baixo
23;29;55580.85;9;casado;12424.1;baixo
24;39;67639.97;8;solteiro;40102.43;alto
25;42;84563.94;17;solteiro;36543.9;medio
26;44;43327.33;1;solteiro;15152.5;medio
27;59;45035.52;4;casado;10167.69;baixo
28;45;27263.4;4;casado;7896.37;baixo
29;33;65146.47;5;solteiro;30268.25;alto
30;32;66711.31;18;casado;22932.81;medio
31;20;35513.1;7;solteiro;14913.63;medio
32;54;56894.03;15;solteiro;21968.87;medio
33;24;65525.82;12;solteiro;24138.16;medio
34;38;51258.55;0;solteiro;13711.35;baixo
35;26;60202.58;19;casado;22559.2;medio
36;56;50517.6;16;casado;14931.33;baixo
37;35;30477.29;6;casado;10409.23;medio
38;21;63110.6;12;solteiro;17864.5;baixo
39;42;67081.52;3;casado;13817.99;baixo
40;31;58576.82;3;solteiro;14153.74;baixo
41;26;34255.24;5;casado;7818.12;baixo
42;43;37183.02;18;solteiro;8411.0;baixo
43;19;31721.84;11;solteiro;10120.97;medio
44;37;59087.67;6;solteiro;35060.65;alto
45;45;66264.81;9;casado;29593.89;medio
46;24;54112.6;18;casado;17858.59;medio
47;25;61543.71;6;casado;16991.04;baixo
48;52;35505.97;2;casado;9835.56;baixo
49;31;50100.41;12;solteiro;10958.83;baixo
50;34;28273.86;12;casado;8039.86;baixo
51;53;36886.36;17;casado;8211.81;baixo
52;57;60652.9;19;solteiro;28162.15;medio
53;21;44549.84;7;solteiro;15089.44;medio
54;19;65415.1;8;solteiro;15362.1;baixo
