id_cliente,ano_mes,segmento_cliente,renda_mensal,limite_credito,valor_fatura,pagamento_realizado,atraso_dias,tempo_relacionamento_meses,inadimplente_mes_seguinte,cancelou_cartao_3m
1,2024-01,premium,3230.27,15955.86,2417.35,1595.18,19,20,0,0
1,2024-02,premium,3558.59,15955.86,2106.18,2015.89,0,21,0,1
1,2024-03,premium,3367.24,15955.86,2733.31,2733.31,0,22,0,1
1,2024-04,premium,3313.52,15955.86,1749.49,1160.76,15,23,0,1
1,2024-05,premium,3573.74,15955.86,1110.23,1050.90,0,24,0,0
1,2024-06,premium,3432.56,15955.86,3248.30,3207.09,0,25,0,0
2,2024-01,varejo,3781.05,22331.12,3274.48,2332.45,9,52,0,1
2,2024-02,varejo,3799.26,22331.12,1049.20,1049.20,0,53,0,0
2,2024-03,varejo,3939.81,22331.12,3269.93,3126.58,0,54,0,0
2,2024-04,varejo,3946.83,22331.12,1243.75,1243.75,0,55,0,0
2,2024-05,varejo,3757.12,22331.12,3079.71,2058.44,16,56,0,0
2,2024-06,varejo,4000.13,22331.12,3421.55,2713.55,16,57,0,0
3,2024-01,premium,3533.03,20941.45,1326.13,929.83,15,47,0,0
3,2024-02,premium,3599.51,20941.45,3571.83,2163.91,30,48,0,0
3,2024-03,premium,3538.20,20941.45,2564.70,1332.14,21,49,1,1
3,2024-04,premium,3422.27,20941.45,3628.14,3542.86,0,50,0,1
3,2024-05,premium,3420.93,20941.45,2112.54,2112.54,0,51,0,1
3,2024-06,premium,3441.84,20941.45,1161.86,1161.86,0,52,0,0
4,2024-01,varejo,4447.55,13611.33,3307.29,3136.15,0,54,0,0
4,2024-02,varejo,4145.78,13611.33,2025.66,1405.40,18,55,0,0
4,2024-03,varejo,4431.91,13611.33,1295.28,1222.92,0,56,0,0
4,2024-04,varejo,4488.66,13611.33,4668.78,4494.63,0,57,0,0
4,2024-05,varejo,4389.53,13611.33,4287.29,4243.60,0,58,0,0
4,2024-06,varejo,4214.42,13611.33,2829.84,2728.16,0,59,0,0
5,2024-01,varejo,8609.84,41198.25,4828.72,4616.70,0,8,0,1
5,2024-02,varejo,8423.78,41198.25,8563.67,8417.42,0,9,0,1
5,2024-03,varejo,8547.45,41198.25,5794.45,5794.45,0,10,0,1
5,2024-04,varejo,8711.13,41198.25,9303.86,9056.92,0,11,0,0
5,2024-05,varejo,8647.09,41198.25,4017.20,4017.20,0,12,0,0
5,2024-06,varejo,8554.57,41198.25,8317.89,7986.48,0,13,0,0
6,2024-01,premium,1069.96,5542.19,697.10,662.32,0,59,0,0
6,2024-02,premium,1149.45,5542.19,491.41,491.41,0,60,0,0
6,2024-03,premium,1101.70,5542.19,552.38,545.12,0,61,0,1
6,2024-04,premium,1140.62,5542.19,316.46,312.70,0,62,0,1
6,2024-05,premium,1122.15,5542.19,609.58,605.41,0,63,0,1
6,2024-06,premium,1090.94,5542.19,1006.27,759.72,14,64,0,0
7,2024-01,premium,3415.56,12031.28,2233.64,2163.65,0,37,0,1
7,2024-02,premium,3650.95,12031.28,1005.58,1005.58,0,38,0,1
7,2024-03,premium,3391.80,12031.28,2159.02,2134.70,0,39,0,0
7,2024-04,premium,3710.36,12031.28,1904.18,1231.83,23,40,0,0
7,2024-05,premium,3455.65,12031.28,3388.57,3302.25,0,41,0,0
7,2024-06,premium,3614.63,12031.28,3685.16,3639.74,0,42,0,0
8,2024-01,premium,4454.50,10902.93,4272.20,4077.53,0,58,0,0
8,2024-02,premium,4661.27,10902.93,1613.95,1590.45,0,59,0,1
8,2024-03,premium,4249.61,10902.93,1488.73,966.43,7,60,0,1
8,2024-04,premium,4400.13,10902.93,2364.69,1714.63,24,61,0,1
8,2024-05,premium,4350.19,10902.93,1080.00,1054.99,0,62,0,0
8,2024-06,premium,4317.27,10902.93,3151.71,3020.16,0,63,0,0
9,2024-01,varejo,4519.24,10035.73,1682.95,1654.82,0,23,0,1
9,2024-02,varejo,4794.58,10035.73,4625.99,3638.19,20,24,0,1
9,2024-03,varejo,4700.65,10035.73,2285.20,2262.01,0,25,0,0
9,2024-04,varejo,4662.91,10035.73,4887.25,4620.88,0,26,0,0
9,2024-05,varejo,4737.10,10035.73,2719.04,2492.77,0,27,0,0
9,2024-06,varejo,4632.04,10035.73,2294.80,1383.33,19,28,0,0
10,2024-01,varejo,3451.96,16969.43,3199.58,3199.58,0,57,0,1
10,2024-02,varejo,3440.65,16969.43,2207.97,2207.97,0,58,0,1
10,2024-03,varejo,3225.64,16969.43,1456.31,1422.60,0,59,0,0
10,2024-04,varejo,3457.13,16969.43,1231.25,693.76,24,60,1,0
10,2024-05,varejo,3284.82,16969.43,1352.59,1331.22,0,61,0,0
10,2024-06,varejo,3239.88,16969.43,1762.38,1728.46,0,62,0,0
11,2024-01,varejo,1650.89,6578.94,1745.18,1728.38,0,36,0,0
11,2024-02,varejo,1721.16,6578.94,855.82,619.24,9,37,0,1
11,2024-03,varejo,1592.73,6578.94,832.49,832.49,0,38,0,1
11,2024-04,varejo,1608.63,6578.94,918.63,905.64,0,39,0,1
11,2024-05,varejo,1651.00,6578.94,1576.77,1576.77,0,40,0,0
11,2024-06,varejo,1573.26,6578.94,580.14,580.14,0,41,0,0
12,2024-01,premium,4381.40,28004.49,3540.05,2735.21,10,7,0,1
12,2024-02,premium,4866.18,28004.49,4167.42,4026.45,0,8,0,1
12,2024-03,premium,4804.52,28004.49,3985.41,3985.41,0,9,0,0
12,2024-04,premium,4788.67,28004.49,3723.04,3723.04,0,10,0,0
12,2024-05,premium,4557.30,28004.49,4103.54,3935.46,0,11,0,0
12,2024-06,premium,4700.22,28004.49,3220.07,3085.54,0,12,0,0
13,2024-01,varejo,9407.58,36620.53,9735.22,9612.93,0,26,0,0
13,2024-02,varejo,9447.20,36620.53,8583.39,5345.21,19,27,0,1
13,2024-03,varejo,10163.31,36620.53,8081.82,8081.82,0,28,0,1
13,2024-04,varejo,9358.39,36620.53,6203.56,3653.80,18,29,1,1
13,2024-05,varejo,9523.48,36620.53,9637.87,8483.14,6,30,0,0
13,2024-06,varejo,9515.23,36620.53,6763.18,6335.34,0,31,0,0
14,2024-01,premium,1828.96,10982.37,590.43,348.67,30,10,1,1
14,2024-02,premium,1784.64,10982.37,666.20,640.51,0,11,0,1
14,2024-03,premium,1821.16,10982.37,1272.70,837.17,13,12,0,0
14,2024-04,premium,1822.63,10982.37,1007.50,973.70,0,13,0,0
14,2024-05,premium,1861.76,10982.37,1159.74,1159.74,0,14,0,0
14,2024-06,premium,1902.84,10982.37,1845.30,1825.09,0,15,0,0
15,2024-01,varejo,6348.50,22464.19,1432.98,1397.95,0,56,0,1
15,2024-02,varejo,6056.67,22464.19,4892.06,4864.23,0,57,0,0
15,2024-03,varejo,6160.71,22464.19,2466.42,1437.99,23,58,1,0
15,2024-04,varejo,6283.60,22464.19,2281.50,2175.67,0,59,0,0
15,2024-05,varejo,6285.34,22464.19,2610.33,1791.45,21,60,0,0
15,2024-06,varejo,6177.07,22464.19,1864.12,1007.02,19,61,1,0
16,2024-01,varejo,3260.66,17563.43,1113.84,1081.57,0,20,0,1
16,2024-02,varejo,3462.51,17563.43,2372.70,2248.04,0,21,0,0
16,2024-03,varejo,3537.90,17563.43,2262.82,1188.11,28,22,1,0
16,2024-04,varejo,3331.33,17563.43,1624.80,1312.82,10,23,0,0
16,2024-05,varejo,3538.88,17563.43,2906.55,2895.75,0,24,0,0
16,2024-06,varejo,3498.39,17563.43,1972.80,1906.71,0,25,0,0
17,2024-01,varejo,3754.02,9074.55,3609.65,1957.92,27,15,1,0
17,2024-02,varejo,3929.89,9074.55,2718.66,2718.66,0,16,0,0
17,2024-03,varejo,3842.29,9074.55,2335.59,2248.02,0,17,0,0
17,2024-04,varejo,3760.83,9074.55,2960.97,2186.20,24,18,0,0
17,2024-05,varejo,3875.34,9074.55,2923.33,2831.56,0,19,0,0
17,2024-06,varejo,3669.40,9074.55,1570.86,1508.63,0,20,0,0
18,2024-01,varejo,2378.06,9975.36,2159.45,2098.71,0,34,0,0
18,2024-02,varejo,2346.06,9975.36,1246.89,1210.48,0,35,0,0
18,2024-03,varejo,2370.22,9975.36,2429.07,2392.92,0,36,0,1
18,2024-04,varejo,2323.07,9975.36,1105.47,1038.25,0,37,0,1
18,2024-05,varejo,2390.49,9975.36,1984.21,1912.93,0,38,0,1
18,2024-06,varejo,2519.74,9975.36,2494.84,2183.24,7,39,0,0
19,2024-01,premium,3447.55,17624.82,3773.48,3694.83,0,27,0,0
19,2024-02,premium,3316.99,17624.82,2002.26,1873.80,0,28,0,0
19,2024-03,premium,3441.40,17624.82,1518.07,1061.28,16,29,0,0
19,2024-04,premium,3458.83,17624.82,1657.09,1585.99,0,30,0,0
19,2024-05,premium,3244.01,17624.82,749.96,749.96,0,31,0,0
19,2024-06,premium,3674.12,17624.82,2832.26,2832.26,0,32,0,0
20,2024-01,varejo,7725.06,43666.16,8441.69,5296.71,11,8,0,1
20,2024-02,varejo,7207.71,43666.16,3662.48,3488.68,0,9,0,1
20,2024-03,varejo,7755.95,43666.16,4679.75,4497.80,0,10,0,0
20,2024-04,varejo,7769.87,43666.16,6566.47,6276.65,0,11,0,0
20,2024-05,varejo,7246.70,43666.16,7804.83,7804.83,0,12,0,0
20,2024-06,varejo,7421.59,43666.16,3058.96,2974.00,0,13,0,0
21,2024-01,premium,5362.88,28318.15,2864.82,2805.12,0,49,0,1
21,2024-02,premium,5383.83,28318.15,5253.64,5199.64,0,50,0,1
21,2024-03,premium,5224.54,28318.15,2146.03,2146.03,0,51,0,0
21,2024-04,premium,5416.12,28318.15,5693.56,5693.56,0,52,0,0
21,2024-05,premium,5216.84,28318.15,4040.18,3896.16,0,53,0,0
21,2024-06,premium,5201.23,28318.15,4908.43,4719.53,0,54,0,0
22,2024-01,varejo,9268.25,20428.54,7082.96,5937.22,6,51,0,1
22,2024-02,varejo,9404.47,20428.54,8473.55,6277.84,27,52,0,1
22,2024-03,varejo,9667.65,20428.54,3456.84,2492.82,13,53,0,1
22,2024-04,varejo,9449.62,20428.54,9194.12,8884.42,0,54,0,0
22,2024-05,varejo,9635.89,20428.54,2642.43,2590.69,0,55,0,0
22,2024-06,varejo,9514.23,20428.54,7646.17,7241.00,0,56,0,0
23,2024-01,premium,7257.28,25156.94,2543.55,2543.55,0,45,0,0
23,2024-02,premium,7006.97,25156.94,6850.40,6426.98,0,46,0,0
23,2024-03,premium,7410.41,25156.94,7951.00,7771.81,0,47,0,0
23,2024-04,premium,7352.59,25156.94,4988.98,4533.40,0,48,0,0
23,2024-05,premium,7036.95,25156.94,5708.80,5516.62,0,49,0,0
23,2024-06,premium,7296.64,25156.94,2679.09,2581.58,0,50,0,0
24,2024-01,premium,4685.48,10934.53,3522.59,3522.59,0,38,0,0
24,2024-02,premium,5127.16,10934.53,3994.04,1957.08,30,39,1,0
24,2024-03,premium,4906.19,10934.53,2654.23,2654.23,0,40,0,0
24,2024-04,premium,4984.03,10934.53,4530.82,4490.00,0,41,0,0
24,2024-05,premium,4938.94,10934.53,2194.79,854.50,27,42,1,0
24,2024-06,premium,5059.26,10934.53,1973.26,1931.80,0,43,0,0
25,2024-01,premium,9425.38,23314.66,9983.48,9168.40,0,25,0,0
25,2024-02,premium,9512.32,23314.66,6127.88,6119.60,0,26,0,0
25,2024-03,premium,9555.75,23314.66,4432.23,4432.23,0,27,0,0
25,2024-04,premium,9280.02,23314.66,5773.18,2840.10,27,28,1,0
25,2024-05,premium,9498.01,23314.66,10155.13,9925.61,0,29,0,0
25,2024-06,premium,9487.89,23314.66,6357.05,6357.05,0,30,0,0
26,2024-01,varejo,4975.07,23420.54,3269.90,1783.19,29,33,1,0
26,2024-02,varejo,4885.52,23420.54,3418.93,3261.73,0,34,0,1
26,2024-03,varejo,4735.57,23420.54,5016.05,4458.25,5,35,0,1
26,2024-04,varejo,5184.57,23420.54,3192.67,3087.09,0,36,0,1
26,2024-05,varejo,4996.88,23420.54,1422.11,751.64,24,37,1,0
26,2024-06,varejo,4997.11,23420.54,5458.50,5442.86,0,38,0,0
27,2024-01,varejo,5875.00,29367.61,5642.34,5438.91,0,32,0,0
